benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,high_school_mathematics,4228,7,0.6415672302246094,6827
MMLU,high_school_mathematics,4229,7,0.8421931266784668,6366
MMLU,high_school_mathematics,4230,9,0.5079264640808105,6879
MMLU,high_school_mathematics,4230,7,0.9745965003967285,6148
MMLU,high_school_mathematics,4231,8,0.31320643424987793,6771
MMLU,high_school_mathematics,4231,7,0.9490442276000977,6879
MMLU,high_school_mathematics,4232,7,0.831512451171875,6570
MMLU,high_school_mathematics,4233,8,0.2460947036743164,6395
MMLU,high_school_mathematics,4233,9,0.31842780113220215,6752
MMLU,high_school_mathematics,4233,6,0.6001605987548828,6577
MMLU,high_school_mathematics,4233,4,0.7965126037597656,6573
MMLU,high_school_mathematics,4233,3,0.8142795562744141,7330
MMLU,high_school_mathematics,4234,3,0.5446450710296631,6730
MMLU,high_school_mathematics,4234,7,0.7215406894683838,6860
MMLU,high_school_mathematics,4235,8,0.2869901657104492,6609
MMLU,high_school_mathematics,4235,7,0.7252817153930664,6175
MMLU,high_school_mathematics,4236,7,0.6774630546569824,6316
MMLU,high_school_mathematics,4236,0,0.7118115425109863,6465
MMLU,high_school_mathematics,4237,8,0.24490952491760254,6495
MMLU,high_school_mathematics,4237,7,1.0887646675109863,6094
MMLU,high_school_mathematics,4238,7,0.9044287204742432,6396
MMLU,high_school_mathematics,4239,8,0.3625450134277344,6438
MMLU,high_school_mathematics,4239,7,0.6641693115234375,6418
MMLU,high_school_mathematics,4240,7,0.6013936996459961,6433
MMLU,high_school_mathematics,4241,9,0.3507544994354248,6834
MMLU,high_school_mathematics,4241,7,0.48628687858581543,6742
MMLU,high_school_mathematics,4242,7,0.5177528858184814,6749
MMLU,high_school_mathematics,4243,8,0.44042086601257324,6513
MMLU,high_school_mathematics,4243,7,1.141540765762329,6763
MMLU,high_school_mathematics,4244,8,0.3502471446990967,6346
MMLU,high_school_mathematics,4244,7,0.8672873973846436,6239
MMLU,high_school_mathematics,4245,8,0.5920839309692383,6221
MMLU,high_school_mathematics,4245,7,0.7189083099365234,6817
MMLU,high_school_mathematics,4246,8,0.5712578296661377,6445
MMLU,high_school_mathematics,4246,7,0.6518697738647461,6833
